1,"Ben Nevis",1344,350377,"Ben Nevis",56.7965,-5.0013,1344.0,140.9
140,"Stob Ban",999,353681,"Stob Ban (Mamores)",56.7467,-5.0262,999.0,418.7
141,"Ben More Assynt",998,350376,"Ben More Assynt",58.1384,-4.8577,998.0,38.4
142,"Broad Cairn",998,350616,"Broad Cairn",56.92,-3.2527,998.0,240
143,"Stob Diamh",998,353692,"Stob Diamh",56.4291,-5.0935,998.0,281.6
144,"A' Chailleach",997,350024,"A'Chailleach (Fannaich Region)",57.6926,-5.1328,999.0,275.3
145,"Glas Bheinn Mhor",997,351576,"Glas Bheinn Mhor",56.5405,-5.0061,993.0,221.5
146,"Spidean Mialach",996,353620,"Spidean Mialach",57.0889,-5.1958,996.0,132.3
147,"An Caisteal",995,350094,"An Caisteal",56.3384,-4.6282,995.0,237.2
148,"Carn an Fhidhleir",994,350778,"Carn An Fhidhleir",56.9384,-3.8009,994.0,279.7
149,"Sgor na h-Ulaidh",994,353409,"Sgor Na H-Ulaidh",56.6197,-5.0852,994.0,313.6
150,"Spidean Coire nan Clach (Beinn Eighe)",993,353619,"Spidean Coire Nan Clach",57.5807,-5.4041,993.0,157.2
151,"Sgurr na Ruaidhe",993,353443,"Sgurr Na Ruaidhe",57.4455,-4.8393,993.0,904.8
152,"Carn nan Gobhar (Glen Cannich)",992,350798,"Carn Nan Gobhar (Loch Mullardoch)",57.3648,-5.0223,992.0,214
153,"Carn nan Gobhar (Glen Strathfarrar)",992,350797,"Carn Nan Gobhar (Glen Strathfarrar)",57.4529,-4.8715,992.0,508.6
154,"Sgurr Alasdair",992,353421,"Sgurr Alasdair",57.2076,-6.2244,993.0,112.5
155,"Sgairneach Mhor",991,353404,"Sgairneach Mhor",56.8282,-4.2984,991.0,46.1
156,"Beinn Eunaich",989,350323,"Beinn Eunaich",56.4502,-5.028,988.0,85.3
157,"Sgurr Ban (Letterewe)",989,353424,"Sgurr Ban",57.7184,-5.2695,989.0,214.2
158,"Conival",987,351001,"Conival",58.1362,-4.8804,987.0,190.5
159,"Creag Leachach",987,351066,"Creag Leacach",56.8527,-3.388,987.0,215.3
160,"Druim Shionnach",987,351255,"Druim Shionnach",57.1258,-5.1804,987.0,185
161,"Gulvain",987,351704,"Gulvain",56.9372,-5.2827,987.0,156.8
162,"Sgurr Mhor (Beinn Alligin)",986,353436,"Sgurr Mhor",57.5905,-5.569,985.0,227.1
163,"Lurg Mhor",986,352463,"Lurg Mhor",57.413,-5.2242,986.0,34.5
164,"Sgurr Dearg (The Inaccessible Pinnacle)",986,353428,"Sgurr Dearg",57.214,-6.2357,986.0,97
165,"Ben Vorlich (by Loch Earn)",985,350382,"Ben Vorlich (Perth & Kinross)",56.3462,-4.2136,985.0,532.7
166,"An Gearanach",982,350097,"An Gearanach",56.7602,-4.9664,982.0,118.1
167,"Mullach na Dheiragain",982,352720,"Mullach Na Dheiragain",57.2848,-5.1855,982.0,163.9
168,"Maol Chinn-dearg",981,352525,"Maol Chinn-Dearg",57.1258,-5.2505,981.0,234.8
169,"Meall nan Aighean",981,352590,"Meall Na Aighean",56.6209,-4.1219,981.0,419.6
170,"Slioch - North Top",981,353542,"Slioch",57.666,-5.3422,980.0,316.5
171,"Stob Coire a' Chairn",981,353686,"Stob Coire A' Chairn",56.7516,-4.9681,981.0,110.6
172,"Beinn a' Chochuill",980,350308,"Beinn A' Chochuil",56.4478,-5.0666,980.0,251.2
173,"Ciste Dhubh",979,350926,"Ciste Dhubh",57.1989,-5.208,982.0,72.1
174,"Stob Coire Sgriodain",979,353690,"Stob Coire Sgriodain",56.8294,-4.692,976.0,314.6
175,"Beinn Dubhchraig",978,350321,"Beinn Dubhchraig",56.3925,-4.7415,977.0,169
176,"Cona' Mheall",978,350994,"Cona Mheall",57.789,-4.9068,980.0,305.8
177,"Meall nan Ceapraichean",977,352592,"Meall Nan Ceapraichean",57.7986,-4.9327,977.0,78.4
178,"Stob Ban",977,353680,"Stob Ban (Grey Corries)",56.8095,-4.8355,977.0,351.2
179,"A' Mharconaich",975,350090,"A'Mharconaich",56.859,-4.2929,975.0,261.2
180,"Carn a' Gheoidh",975,350776,"Carn A' Gheoidh",56.8729,-3.4658,975.0,52.9
181,"Carn Liath",975,350792,"Carn Liath (Perth & Kinross)",56.8073,-3.742,975.0,138.4
182,"Stuc a' Chroin",975,353754,"Stuc A' Chroin",56.3332,-4.2337,972.0,492.4
183,"Beinn Sgritheall",974,350338,"Beinn Sgritheall",57.1544,-5.5761,981.0,228
184,"Ben Lomond",974,350371,"Ben Lomond",56.1896,-4.6229,974.0,630
185,"Sgurr a' Ghreadhaidh",973,353417,"Sgurr A' Ghreadaidh",57.2272,-6.2336,973.0,51.3
186,"Meall Garbh",968,352585,"Meall Garbh (968m)",56.635,-4.198,968.0,635.6
187,"A' Mhaighdean",967,350089,"A'Mhaighdean",57.7209,-5.3464,967.0,140.9
188,"Sgorr nam Fiannaidh (Aonach Eagach)",967,353412,"Sgorr Nam Fiannaidh",56.682,-5.0398,966.0,332.8
189,"Ben More",966,350374,"Ben More (Argyll & Bute)",56.423,-6.0143,966.0,204.1
190,"Sgurr na Banachdich",965,353438,"Sgurr Na Banachdich",57.2215,-6.2415,965.0,60
191,"Sgurr nan Gillean",964,353453,"Sgurr Nan Gillean",57.2483,-6.1924,965.0,42.2
192,"Carn a' Chlamain",963,350774,"Carn A' Chlamain",56.8668,-3.7812,963.0,655.5
193,"Sgurr Thuilm",963,353454,"Sgurr Thuilm",56.9352,-5.3904,963.0,218.7
194,"Ben Klibreck",962,352593,"Meall Nan Con",58.2351,-4.4075,961.0,212.8
195,"Sgorr Ruadh",962,353413,"Sgorr Ruadh",57.503,-5.4091,960.0,493.5
196,"Beinn nan Aighenan",960,350336,"Beinn Nan Aighenan",56.519,-5.0127,957.0,162.9
197,"Stuchd an Lochain",960,353755,"Stuchd An Lochain",56.5688,-4.4714,960.0,239.1
198,"Beinn Fhionnlaidh",959,350325,"Beinn Fhionnlaidh (Argyll & Bute)",56.5998,-5.1116,959.0,440.3
199,"Meall Glas",959,352587,"Meall Glas",56.4559,-4.5476,957.0,52.2
200,"Bruach na Frithe",958,350657,"Bruach Na Frithe",57.2462,-6.2085,958.0,151.5
201,"Buachaille Etive Beag* Stob Dubh",958,353693,"Stob Dubh",56.6386,-4.9722,958.0,102
202,"Tolmount",958,353933,"Tolmount",56.906,-3.296,958.0,183.9
203,"Carn Ghluasaid",957,350789,"Carn Ghluasaid",57.1655,-5.0661,957.0,133.8
204,"Tom Buidhe",957,353935,"Tom Buidhe",56.8932,-3.2899,957.0,156.1
205,"Saileag",956,353301,"Saileag",57.1788,-5.2757,959.0,436.8
206,"Sgurr nan Coireachean",956,353449,"Sgurr Nan Coireachan (Glen Finnan)",56.9347,-5.4482,956.0,116.3
207,"Buachaille Etive Mor* Stob na Broige",956,353695,"Stob Na Broige",56.6311,-4.9519,956.0,143.2
208,"Sgor Gaibhre",955,353407,"Sgor Gaibhre",56.7755,-4.5461,952.0,329.6
209,"Beinn Liath Mhor Fannaich",954,350332,"Beinn Liath Mhor Fannaich",57.7059,-4.9857,954.0,243.2
210,"Am Faochagach",953,350083,"Am Faochagach",57.7715,-4.8545,954.0,48.9
211,"Beinn Mhanach",953,350333,"Beinn Mhanach",56.5323,-4.6447,953.0,210.7
212,"Meall Dearg (Aonach Eagach)",953,352583,"Meall Dearg",56.6818,-5.0043,951.0,135.5
213,"Sgurr nan Coireachan",953,353448,"Sgurr Nan Coireachan (Glen Dessary)",57.0051,-5.4025,953.0,289.9
214,"Meall Chuaich",951,352581,"Meall Chuaich",56.9616,-4.112,951.0,252.5
215,"Meall Gorm",949,352588,"Meall Gorm",57.6828,-4.9825,949.0,231.6
216,"Beinn Bhuidhe",948,350316,"Beinn Bhuidhe",56.326,-4.9067,948.0,73.6
217,"Sgurr Mhic Choinnich",948,353421,"Sgurr Alasdair",57.2076,-6.2244,993.0,152.7
218,"Creag a' Mhaim",947,351065,"Creag A' Mhaim",57.1216,-5.1657,947.0,348.3
219,"Driesh",947,351247,"Driesh",56.8478,-3.1954,947.0,71.9
220,"Beinn Tulaichean",946,350342,"Beinn Tulaichean",56.34,-4.5694,946.0,448
221,"Carn Bhac",946,350783,"Carn Bhac",56.9296,-3.5595,946.0,134
222,"Meall Buidhe",946,352579,"Meall Buidhe (Highland)",57.0352,-5.5411,946.0,514.6
223,"Sgurr na Sgine",946,353444,"Sgurr Na Sgine",57.1447,-5.394,945.0,310.4
224,"Bidean a' Choire Sheasgaich",945,350419,"Bidean A' Choire Sheasgaich",57.4203,-5.2521,945.0,117
225,"Carn Dearg",945,350786,"Carn Dearg (945m)",57.0984,-4.2608,945.0,821.1
226,"Stob a' Choire Odhair",945,353679,"Stob A' Choire Odhair",56.5694,-4.8339,947.0,511.4
227,"An Socach",944,350100,"An Socach (Glen Ey)",56.9055,-3.51,944.0,404.4
228,"Sgurr Dubh Mor",944,353429,"Sgurr Dubh Mor",57.2049,-6.2135,944.0,125.2
229,"Ben Vorlich",943,350381,"Ben Vorlich (Argyll & Bute)",56.2746,-4.7515,943.0,228
230,"Binnean Beag",943,350437,"Binnein Beag",56.7672,-4.9081,940.0,182.2
231,"Beinn a' Chroin",942,350310,"Beinn A' Chroin",56.3304,-4.6039,940.0,395.3
232,"Carn Dearg",941,350785,"Carn Dearg (939m)",56.7625,-4.5873,939.0,326.3
233,"Carn na Caim",941,350795,"Carn Na Caim",56.9107,-4.1761,941.0,151.8
234,"Luinne Bheinne",939,352460,"Luinne Bheinn",57.053,-5.5128,939.0,522.1
235,"Mount Keen",939,352701,"Mount Keen",56.9699,-2.9709,939.0,165.8
236,"Mullach na Coirean",939,352721,"Mullach Nan Coirean",56.7518,-5.0679,939.0,347.6
237,"Beinn Sgulaird",937,350339,"Beinn Sgulaird",56.5673,-5.1703,932.0,118.8
238,"Beinn Tarsuinn",937,350340,"Beinn Tarsuinn",57.7034,-5.2988,936.0,453.2
239,"Sron a' Choire Ghairbh",937,353631,"Sron A' Choire Ghairbh",57.0074,-4.9287,935.0,49
240,"A' Bhuidheanach Bheag",936,350001,"A' Bhuidheanach Bheag",56.8716,-4.1969,936.0,178.1
241,"Beinn na Lap",935,350335,"Beinn Na Lap",56.7896,-4.6543,937.0,347.6
242,"Am Basteir",934,350081,"Am Basteir",57.2474,-6.2007,935.0,149.4
243,"Meall a' Chrasgaidh",934,352578,"Meall A' Chrasgaidh",57.7131,-5.0458,934.0,175.6
244,"Beinn Chabhair",933,350317,"Beinn Chabhair",56.3252,-4.6457,931.0,267.6
245,"The Cairnwell",933,3072,"Cairnwell",56.879,-3.42,933.0,91.7
246,"Fionn Bheinn",933,351468,"Fionn Bheinn",57.6101,-5.1016,933.0,134.1
247,"Maol Chean-dearg",933,352524,"Maol Chean-Dearg",57.4965,-5.4678,933.0,550.7
248,"Meall Buidhe",932,352580,"Meall Buidhe (Perth & Kinross)",56.616,-4.4461,931.0,206.3
249,"Beinn Bhreac",931,350314,"Beinn Bhreac",57.0573,-3.5561,931.0,295.2
250,"Ben Chonzie (Ben-y-Hone)",931,350367,"Ben Chonzie",56.4557,-3.9881,931.0,318.4
251,"A' Chailleach",930,350025,"A'Chailleach (Monadh Liath Region)",57.1087,-4.1776,930.0,139.9
252,"Bla Bheinn (Blaven)",928,350463,"Bla Bheinn",57.2207,-6.0905,928.0,206.3
253,"Mayar",928,352569,"Mayar",56.8508,-3.2478,928.0,226.1
254,"Meall nan Eun",928,352594,"Meall Nan Eun",56.5599,-4.939,926.0,277.6
255,"Moruisg",928,352686,"Moruisg",57.5009,-5.1691,928.0,160.6
256,"Ben Hope",927,350369,"Ben Hope",58.4136,-4.6049,927.0,180.7
257,"Eididh nan Clach Geala",927,351366,"Eididh Nan Clach Geala",57.8128,-4.9359,928.0,125.9
258,"Beinn Liath Mhor",926,350331,"Beinn Liath Mhor",57.5163,-5.4006,925.0,469.9
259,"Beinn Narnain",926,350337,"Beinn Narnain",56.2207,-4.7853,926.0,230.5
260,"Geal Charn",926,351555,"Geal Charn (926m)",57.0583,-4.3725,926.0,117.6
261,"Meall a' Choire Leith",926,352577,"Meall A' Choire Leith",56.5666,-4.2587,926.0,65.1
262,"Seana Bhraigh",926,353389,"Seana Bhraigh",57.8464,-4.9002,927.0,235.7
263,"Buachaille Etive Beag* Stob Coire Raineach",925,353684,"Stob Choire Raineach",56.6525,-4.95,925.0,303
264,"Creag Pitridh",924,351070,"Creag Pitridh",56.8996,-4.4872,924.0,136.9
265,"Sgurr nan Eag",924,353452,"Sgurr Nan Eag",57.1964,-6.2084,924.0,184.6
266,"An Coileachan",923,350096,"An Coileachan",57.6686,-4.9476,923.0,156.5
267,"Sgurr nan Each",923,353451,"Sgurr Nan Each",57.6822,-5.0434,923.0,219.3
268,"Tom na Gruagaich (Beinn Alligin)",922,353936,"Tom Na Gruagaich",57.5817,-5.5806,922.0,152.8
269,"An Socach",921,350101,"An Socach (Highland)",57.2574,-5.1679,920.0,204.6
270,"Sgiath Chuil",921,353405,"Sgaith Chuil",56.4545,-4.4969,921.0,168.6
271,"Carn Sgulain",920,350799,"Carn Sgulain",57.125,-4.1747,920.0,154.7
272,"Gairich",919,351533,"Gairich",57.041,-5.2541,919.0,443.8
273,"Ruadh Stac Mor",919,353275,"Ruadh Stac Mor",57.7284,-5.3273,918.0,215.3
274,"A' Ghlas-bheinn",918,350044,"A'Ghlas-Bheinn",57.2549,-5.3033,918.0,31.4
275,"Creag nan Damh",918,351069,"Creag Nan Damh",57.1445,-5.3296,918.0,430.4
276,"Meall na Teanga",918,352591,"Meall Na Teanga",56.9895,-4.928,917.0,183.5
277,"Sgurr a' Mhadaidh",918,353418,"Sgurr A' Mhadaidh",57.2313,-6.2266,918.0,324.4
278,"Geal-charn",917,351554,"Geal Charn (917m)",56.8778,-4.2998,917.0,471.6
279,"Beinn a' Chleibh",916,350307,"Beinn A' Chleibh",56.3907,-4.832,917.0,229.6
280,"Ben Vane",916,350380,"Ben Vane",56.2497,-4.778,916.0,225
281,"Carn Aosda",915,350782,"Carn Aosda",56.8963,-3.4259,917.0,173
282,"Beinn Teallach",915,350341,"Beinn Teallach",56.9363,-4.6958,915.0,75.6
